,,2008 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Ken Whisenhunt,ARI,16,9,7,0,96,45,51,0,119,48,71,0,4,3,1,6,4,2,6,4,2,NFC Champions
Mike Smith,ATL,16,11,5,0,112,66,46,0,112,66,46,0,1,0,1,5,1,4,5,1,4,
John Harbaugh,BAL,16,11,5,0,258,160,98,0,258,160,98,0,3,2,1,20,11,9,20,11,9,
Dick Jauron,BUF,16,7,9,0,57,24,33,0,142,60,82,0,0,0,0,0,0,0,1,0,1,
John Fox,CAR,16,12,4,0,144,73,71,0,256,133,123,0,1,0,1,8,5,3,15,8,7,
Lovie Smith,CHI,16,9,7,0,144,81,63,0,193,92,100,1,0,0,0,6,3,3,6,3,3,
Marvin Lewis,CIN,16,4,11,1,256,131,122,3,256,131,122,3,0,0,0,7,0,7,7,0,7,
Romeo Crennel,CLE,16,4,12,0,64,24,40,0,95,32,63,0,0,0,0,0,0,0,0,0,0,
Wade Phillips,DAL,16,9,7,0,56,34,22,0,146,82,64,0,0,0,0,3,1,2,6,1,5,
Mike Shanahan,DEN,16,8,8,0,224,138,86,0,308,170,138,0,0,0,0,13,8,5,14,8,6,
Rod Marinelli,DET,16,0,16,0,48,10,38,0,48,10,38,0,0,0,0,0,0,0,0,0,0,
Mike McCarthy,GNB,16,6,10,0,204,125,77,2,270,166,102,2,0,0,0,18,10,8,21,11,10,
Gary Kubiak,HOU,16,8,8,0,125,61,64,0,157,82,75,0,0,0,0,4,2,2,7,5,2,
Tony Dungy,IND,16,12,4,0,112,85,27,0,208,139,69,0,1,0,1,13,7,6,19,9,10,
Jack Del Rio,JAX,16,5,11,0,139,68,71,0,187,93,94,0,0,0,0,3,1,2,4,1,3,
Herm Edwards,KAN,16,2,14,0,48,15,33,0,128,54,74,0,0,0,0,1,0,1,6,2,4,
Tony Sparano,MIA,16,11,5,0,61,29,32,0,73,32,41,0,1,0,1,1,0,1,1,0,1,
Brad Childress,MIN,16,10,6,0,74,39,35,0,74,39,35,0,1,0,1,3,1,2,3,1,2,
Sean Payton,NOR,16,8,8,0,241,152,89,0,257,160,97,0,0,0,0,17,9,8,17,9,8,
Bill Belichick,NWE,16,11,5,0,386,266,120,0,466,302,164,0,0,0,0,42,30,12,44,31,13,
Tom Coughlin,NYG,16,12,4,0,192,102,90,0,320,170,150,0,1,0,1,11,8,3,19,12,7,
Eric Mangini,NYJ,16,9,7,0,48,23,25,0,80,33,47,0,0,0,0,1,0,1,1,0,1,
Tom Cable,OAK,12,4,8,0,44,17,27,0,44,17,27,0,0,0,0,0,0,0,0,0,0,Coach starting Week 5
Lane Kiffin,OAK,4,1,3,0,20,5,15,0,20,5,15,0,0,0,0,0,0,0,0,0,0,Fired after Week 4
Andy Reid,PHI,16,9,6,1,224,130,93,1,402,257,144,1,3,2,1,19,10,9,38,22,16,
Mike Tomlin,PIT,16,12,4,0,274,172,100,2,274,172,100,2,3,3,0,17,8,9,17,8,9,Super Bowl Champions
Norv Turner,SDG,16,8,8,0,96,56,40,0,237,114,122,1,2,1,1,6,3,3,8,4,4,
Mike Holmgren,SEA,16,4,12,0,160,86,74,0,272,161,111,0,0,0,0,10,4,6,24,13,11,
Mike Nolan,SFO,7,2,5,0,55,18,37,0,55,18,37,0,0,0,0,0,0,0,0,0,0,Fired after Week 7
Mike Singletary,SFO,9,5,4,0,40,18,22,0,40,18,22,0,0,0,0,0,0,0,0,0,0,Coach starting Week 8
Jim Haslett,STL,12,2,10,0,12,2,10,0,108,47,61,0,0,0,0,0,0,0,2,1,1,Coach starting Week 5
Scott Linehan,STL,4,0,4,0,36,11,25,0,36,11,25,0,0,0,0,0,0,0,0,0,0,Fired after Week 4
Jon Gruden,TAM,16,9,7,0,112,57,55,0,229,117,112,0,0,0,0,5,3,2,10,5,5,
Jeff Fisher,TEN,16,13,3,0,262,142,120,0,339,173,165,1,1,0,1,11,5,6,11,5,6,
Jim Zorn,WAS,16,8,8,0,32,12,20,0,32,12,20,0,0,0,0,0,0,0,0,0,0,
