,,2014 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Bruce Arians,ARI,16,11,5,0,80,49,30,1,129,80,48,1,1,0,1,3,1,2,9,6,3,
Mike Smith,ATL,16,6,10,0,112,66,46,0,112,66,46,0,0,0,0,5,1,4,5,1,4,
John Harbaugh,BAL,16,10,6,0,258,160,98,0,258,160,98,0,2,1,1,20,11,9,20,11,9,
Doug Marrone,BUF,16,9,7,0,32,15,17,0,98,38,60,0,0,0,0,0,0,0,3,2,1,
Ron Rivera,CAR,16,7,8,1,140,76,63,1,206,102,102,2,2,1,1,7,3,4,8,3,5,
Marc Trestman,CHI,16,5,11,0,32,13,19,0,32,13,19,0,0,0,0,0,0,0,0,0,0,
Marvin Lewis,CIN,16,10,5,1,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Mike Pettine,CLE,16,7,9,0,32,10,22,0,32,10,22,0,0,0,0,0,0,0,0,0,0,
Jason Garrett,DAL,16,12,4,0,152,85,67,0,152,85,67,0,2,1,1,5,2,3,5,2,3,
John Fox,DEN,16,12,4,0,64,46,18,0,256,133,123,0,1,0,1,7,3,4,15,8,7,
Jim Caldwell,DET,16,11,5,0,64,36,28,0,112,62,50,0,1,0,1,2,0,2,6,2,4,
Mike McCarthy,GNB,16,12,4,0,204,125,77,2,270,166,102,2,2,1,1,18,10,8,21,11,10,
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,0,0,0,6,2,4,6,2,4,
Chuck Pagano,IND,16,11,5,0,96,53,43,0,96,53,43,0,3,2,1,6,3,3,6,3,3,
Gus Bradley,JAX,16,3,13,0,62,14,48,0,62,14,48,0,0,0,0,0,0,0,0,0,0,
Andy Reid,KAN,16,9,7,0,178,127,51,0,402,257,144,1,0,0,0,19,12,7,38,22,16,
Joe Philbin,MIA,16,8,8,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,
Mike Zimmer,MIN,16,7,9,0,129,72,56,1,129,72,56,1,0,0,0,5,2,3,5,2,3,
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,0,0,0,17,9,8,17,9,8,
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,3,3,0,42,30,12,44,31,13,Super Bowl Champions
Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,0,0,0,11,8,3,19,12,7,
Rex Ryan,NYJ,16,4,12,0,96,46,50,0,127,61,66,0,0,0,0,6,4,2,6,4,2,
Dennis Allen,OAK,4,0,4,0,36,8,28,0,69,23,46,0,0,0,0,0,0,0,0,0,0,Fired after week 4
Tony Sparano,OAK,12,3,9,0,12,3,9,0,73,32,41,0,0,0,0,0,0,0,1,0,1,
Chip Kelly,PHI,16,10,6,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,
Mike Tomlin,PIT,16,11,5,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,
Mike McCoy,SDG,16,9,7,0,64,27,37,0,64,27,37,0,0,0,0,2,1,1,2,1,1,
Pete Carroll,SEA,16,12,4,0,226,136,89,1,290,169,120,1,3,2,1,19,10,9,22,11,11,NFC Champions
Jim Harbaugh,SFO,16,8,8,0,64,44,19,1,64,44,19,1,0,0,0,8,5,3,8,5,3,
Jeff Fisher,STL,16,6,10,0,77,31,45,1,339,173,165,1,0,0,0,0,0,0,11,5,6,
Lovie Smith,TAM,16,2,14,0,32,8,24,0,193,92,100,1,0,0,0,0,0,0,6,3,3,
Ken Whisenhunt,TEN,16,2,14,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,
Jay Gruden,WAS,16,4,12,0,85,35,49,1,85,35,49,1,0,0,0,1,0,1,1,0,1,
