,,2015 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Bruce Arians,ARI,16,13,3,0,80,49,30,1,129,80,48,1,2,1,1,3,1,2,9,6,3,
Dan Quinn,ATL,16,8,8,0,85,43,42,0,85,43,42,0,0,0,0,5,3,2,5,3,2,
John Harbaugh,BAL,16,5,11,0,258,160,98,0,258,160,98,0,,,,20,11,9,20,11,9,
Rex Ryan,BUF,16,8,8,0,31,15,16,0,127,61,66,0,,,,0,0,0,6,4,2,
Ron Rivera,CAR,16,15,1,0,140,76,63,1,206,102,102,2,3,2,1,7,3,4,8,3,5,NFC Champions
John Fox,CHI,16,6,10,0,48,14,34,0,256,133,123,0,,,,,,,15,8,7,
Marvin Lewis,CIN,16,12,4,0,256,131,122,3,256,131,122,3,1,0,1,7,0,7,7,0,7,
Mike Pettine,CLE,16,3,13,0,32,10,22,0,32,10,22,0,,,,0,0,0,0,0,0,
Jason Garrett,DAL,16,4,12,0,152,85,67,0,152,85,67,0,,,,5,2,3,5,2,3,
Gary Kubiak,DEN,16,12,4,0,32,21,11,0,157,82,75,0,3,3,0,3,3,0,7,5,2,Super Bowl Champions
Jim Caldwell,DET,16,7,9,0,64,36,28,0,112,62,50,0,,,,2,0,2,6,2,4,
Mike McCarthy,GNB,16,10,6,0,204,125,77,2,270,166,102,2,2,1,1,18,10,8,21,11,10,
Bill O'Brien,HOU,16,9,7,0,100,52,48,0,100,52,48,0,1,0,1,6,2,4,6,2,4,
Chuck Pagano,IND,16,8,8,0,96,53,43,0,96,53,43,0,,,,6,3,3,6,3,3,
Gus Bradley,JAX,16,5,11,0,62,14,48,0,62,14,48,0,,,,0,0,0,0,0,0,
Andy Reid,KAN,16,11,5,0,178,127,51,0,402,257,144,1,2,1,1,19,12,7,38,22,16,
Dan Campbell,MIA,12,5,7,0,12,5,7,0,62,28,33,1,,,,,,,,,,Replaced Joe Philbin after Week 4
Joe Philbin,MIA,4,1,3,0,52,24,28,0,56,26,30,0,0,0,0,0,0,0,0,0,0,Fired after Week 4
Mike Zimmer,MIN,16,11,5,0,129,72,56,1,129,72,56,1,1,0,1,5,2,3,5,2,3,
Sean Payton,NOR,16,7,9,0,241,152,89,0,257,160,97,0,,,,17,9,8,17,9,8,
Bill Belichick,NWE,16,12,4,0,386,266,120,0,466,302,164,0,2,1,1,42,30,12,44,31,13,
Tom Coughlin,NYG,16,6,10,0,192,102,90,0,320,170,150,0,,,,11,8,3,19,12,7,
Todd Bowles,NYJ,16,10,6,0,64,24,40,0,100,42,58,0,,,,,,,1,0,1,
Jack Del Rio,OAK,16,7,9,0,48,25,23,0,187,93,94,0,,,,1,0,1,4,1,3,
Chip Kelly,PHI,15,6,9,0,47,26,21,0,63,28,35,0,0,0,0,1,0,1,1,0,1,Fired after Week 16
Pat Shurmur,PHI,1,1,0,0,1,1,0,0,65,19,46,0,,,,,,,0,0,0,Interim head coach for Week 17
Mike Tomlin,PIT,16,10,6,0,274,172,100,2,274,172,100,2,2,1,1,17,8,9,17,8,9,
Mike McCoy,SDG,16,4,12,0,64,27,37,0,64,27,37,0,,,,2,1,1,2,1,1,
Pete Carroll,SEA,16,10,6,0,226,136,89,1,290,169,120,1,2,1,1,19,10,9,22,11,11,
Jim Tomsula,SFO,16,5,11,0,17,6,11,0,17,6,11,0,,,,0,0,0,0,0,0,
Jeff Fisher,STL,16,7,9,0,77,31,45,1,339,173,165,1,,,,0,0,0,11,5,6,
Lovie Smith,TAM,16,6,10,0,32,8,24,0,193,92,100,1,,,,0,0,0,6,3,3,
Mike Mularkey,TEN,9,2,7,0,41,20,21,0,89,36,53,0,,,,2,1,1,2,1,1,Replaced Ken Whisenhunt after Week 8
Ken Whisenhunt,TEN,7,1,6,0,23,3,20,0,119,48,71,0,0,0,0,0,0,0,6,4,2,Fired after Week 8
Jay Gruden,WAS,16,9,7,0,85,35,49,1,85,35,49,1,1,0,1,1,0,1,1,0,1,
