,,2020 Season,,,,w/ Team,,,,Career,,,,Playoffs,,,w/ Team,,,Career,,,
Coach,Tm,G,W,L,T,G,W,L,T,G,W,L,T,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,G plyf,W plyf,L plyf,Remark
Kliff Kingsbury,ARI,16,8,8,0,66,28,37,1,66,28,37,1,,,,1,0,1,1,0,1,
Dan Quinn,ATL,5,0,5,0,85,43,42,0,85,43,42,0,,,,5,3,2,5,3,2,Fired after week 5
Raheem Morris,ATL,11,4,7,0,11,4,7,0,59,21,38,0,,,,,,,0,0,0,
John Harbaugh,BAL,16,11,5,0,258,160,98,0,258,160,98,0,2,1,1,20,11,9,20,11,9,
Sean McDermott,BUF,16,13,3,0,113,72,41,0,113,72,41,0,3,2,1,9,4,5,9,4,5,
Matt Rhule,CAR,16,5,11,0,38,11,27,0,38,11,27,0,,,,,,,,,,
Matt Nagy,CHI,16,8,8,0,65,34,31,0,65,34,31,0,1,0,1,2,0,2,2,0,2,
Zac Taylor,CIN,16,4,11,1,81,36,44,1,81,36,44,1,,,,7,5,2,7,5,2,
Kevin Stefanski,CLE,16,11,5,0,66,37,29,0,66,37,29,0,2,1,1,2,1,1,2,1,1,
Mike McCarthy,DAL,16,6,10,0,66,41,25,0,270,166,102,2,,,,3,1,2,21,11,10,
Vic Fangio,DEN,16,5,11,0,49,19,30,0,49,19,30,0,,,,,,,,,,
Darrell Bevell,DET,5,1,4,0,5,1,4,0,9,2,7,0,,,,,,,,,,Interim coach after Week 12
Matt Patricia,DET,11,4,7,0,43,13,29,1,43,13,29,1,,,,,,,,,,Fired after week 12
Matt LaFleur,GNB,16,13,3,0,82,55,27,0,82,55,27,0,2,1,1,5,2,3,5,2,3,
Romeo Crennel,HOU,12,4,8,0,12,4,8,0,95,32,63,0,,,,,,,0,0,0,
Bill O'Brien,HOU,4,0,4,0,100,52,48,0,100,52,48,0,,,,6,2,4,6,2,4,Fired after week 4
Frank Reich,IND,16,11,5,0,74,40,33,1,85,41,43,1,1,0,1,3,1,2,3,1,2,
Doug Marrone,JAX,16,1,15,0,66,23,43,0,98,38,60,0,,,,3,2,1,3,2,1,
Andy Reid,KAN,16,14,2,0,178,127,51,0,402,257,144,1,3,2,1,19,12,7,38,22,16,AFC Champions
Anthony Lynn,LAC,16,7,9,0,64,33,31,0,65,33,32,0,,,,2,1,1,2,1,1,
Sean McVay,LAR,16,10,6,0,114,69,45,0,114,69,45,0,2,1,1,10,7,3,10,7,3,
Jon Gruden,LVR,16,8,8,0,117,60,57,0,229,117,112,0,,,,5,2,3,10,5,5,
Brian Flores,MIA,16,10,6,0,49,24,25,0,49,24,25,0,,,,,,,,,,
Mike Zimmer,MIN,16,7,9,0,129,72,56,1,129,72,56,1,,,,5,2,3,5,2,3,
Sean Payton,NOR,16,12,4,0,241,152,89,0,257,160,97,0,2,1,1,17,9,8,17,9,8,
Bill Belichick,NWE,16,7,9,0,386,266,120,0,466,302,164,0,,,,42,30,12,44,31,13,
Joe Judge,NYG,16,6,10,0,33,10,23,0,33,10,23,0,,,,,,,,,,
Adam Gase,NYJ,16,2,14,0,32,9,23,0,80,32,48,0,,,,,,,1,0,1,
Doug Pederson,PHI,16,4,11,1,80,42,37,1,113,60,52,1,,,,6,4,2,8,5,3,
Mike Tomlin,PIT,16,12,4,0,274,172,100,2,274,172,100,2,1,0,1,17,8,9,17,8,9,
Pete Carroll,SEA,16,12,4,0,226,136,89,1,290,169,120,1,1,0,1,19,10,9,22,11,11,
Kyle Shanahan,SFO,16,6,10,0,114,64,50,0,114,64,50,0,,,,9,6,3,9,6,3,
Bruce Arians,TAM,16,11,5,0,49,31,18,0,129,80,48,1,4,4,0,6,5,1,9,6,3,Super Bowl Champions
Mike Vrabel,TEN,16,11,5,0,98,53,45,0,98,53,45,0,1,0,1,5,2,3,5,2,3,
Ron Rivera,WAS,16,7,9,0,66,26,39,1,206,102,102,2,1,0,1,1,0,1,8,3,5,
